Caso,n,Longitud Secuencia,Tiempo (s)
10050,10050,19,0.001634359359741211
1050,1050,14,0.00043082237243652344
2050,2050,13,0.0006585121154785156
3050,3050,19,0.0020253658294677734
4050,4050,19,0.0019829273223876953
50,50,8,0.00010347366333007812
5050,5050,20,0.001316070556640625
6050,6050,19,0.0021572113037109375
7050,7050,19,0.0011522769927978516
8050,8050,21,0.002056121826171875
9050,9050,20,0.0014104843139648438
